id,attit,expo,age,age11,age13,age11s,age13s,ind1,ind2,ind3,ind4,ind5,female,minority,income
     281,.29,-.01,11,0,-2,0,4,1,0,0,0,0,0,0,5
     281,.37,.32,13,2,0,4,0,0,0,1,0,0,0,0,5
     281,.51,.14,14,3,1,9,1,0,0,0,1,0,0,0,5
     281,.64,-.01,15,4,2,16,4,0,0,0,0,1,0,0,5
     297,0,-.27,11,0,-2,0,4,1,0,0,0,0,1,0,3
     314,.2,-.27,11,0,-2,0,4,1,0,0,0,0,0,0,10
     314,.2,-.27,12,1,-1,1,1,0,1,0,0,0,0,0,10
     314,.44,-.27,13,2,0,4,0,0,0,1,0,0,0,0,10
     314,.11,-.09,14,3,1,9,1,0,0,0,1,0,0,0,10
     314,.11,-.17,15,4,2,16,4,0,0,0,0,1,0,0,10
     330,.29,-.01,11,0,-2,0,4,1,0,0,0,0,0,1,2
     330,.37,.2,12,1,-1,1,1,0,1,0,0,0,0,1,2
     330,0,-.17,13,2,0,4,0,0,0,1,0,0,0,1,2
     330,.51,.2,15,4,2,16,4,0,0,0,0,1,0,1,2
     334,0,-.17,12,1,-1,1,1,0,1,0,0,0,1,1,1
     334,.11,-.27,13,2,0,4,0,0,0,1,0,0,1,1,1
     334,0,-.17,14,3,1,9,1,0,0,0,1,0,1,1,1
     334,0,-.37,15,4,2,16,4,0,0,0,0,1,1,1,1
     361,.44,.26,13,2,0,4,0,0,0,1,0,0,0,0,4
     361,.44,-.09,14,3,1,9,1,0,0,0,1,0,0,0,4
     361,.8,.69,15,4,2,16,4,0,0,0,0,1,0,0,4
     362,.11,-.09,11,0,-2,0,4,1,0,0,0,0,0,0,4
     362,.37,-.09,12,1,-1,1,1,0,1,0,0,0,0,0,4
     362,0,-.17,13,2,0,4,0,0,0,1,0,0,0,0,4
     362,0,-.27,14,3,1,9,1,0,0,0,1,0,0,0,4
     362,0,-.37,15,4,2,16,4,0,0,0,0,1,0,0,4
     363,0,-.17,11,0,-2,0,4,1,0,0,0,0,1,0,4
     363,.11,-.27,12,1,-1,1,1,0,1,0,0,0,1,0,4
     363,0,.07,13,2,0,4,0,0,0,1,0,0,1,0,4
     363,.11,-.01,14,3,1,9,1,0,0,0,1,0,1,0,4
     363,0,-.37,15,4,2,16,4,0,0,0,0,1,1,0,4
     368,.29,-.27,12,1,-1,1,1,0,1,0,0,0,1,0,2
     368,.11,-.17,13,2,0,4,0,0,0,1,0,0,1,0,2
     368,0,.73,14,3,1,9,1,0,0,0,1,0,1,0,2
     368,.2,.26,15,4,2,16,4,0,0,0,0,1,1,0,2
     369,.51,-.06,11,0,-2,0,4,1,0,0,0,0,1,0,2
     369,.37,-.17,12,1,-1,1,1,0,1,0,0,0,1,0,2
     369,.69,-.17,13,2,0,4,0,0,0,1,0,0,1,0,2
     369,.69,.47,15,4,2,16,4,0,0,0,0,1,1,0,2
     374,0,.07,11,0,-2,0,4,1,0,0,0,0,1,0,5
     385,.37,-.37,11,0,-2,0,4,1,0,0,0,0,1,0,5
     385,.2,-.27,12,1,-1,1,1,0,1,0,0,0,1,0,5
     385,.37,-.27,13,2,0,4,0,0,0,1,0,0,1,0,5
     385,.64,-.17,14,3,1,9,1,0,0,0,1,0,1,0,5
     385,.69,-.01,15,4,2,16,4,0,0,0,0,1,1,0,5
     387,.29,-.09,11,0,-2,0,4,1,0,0,0,0,1,0,10
     387,.44,.14,12,1,-1,1,1,0,1,0,0,0,1,0,10
     387,.69,.2,13,2,0,4,0,0,0,1,0,0,1,0,10
     387,.94,.2,14,3,1,9,1,0,0,0,1,0,1,0,10
     387,.75,.14,15,4,2,16,4,0,0,0,0,1,1,0,10
     396,.44,-.09,11,0,-2,0,4,1,0,0,0,0,1,0,5
     396,.44,-.01,12,1,-1,1,1,0,1,0,0,0,1,0,5
     396,.37,.07,13,2,0,4,0,0,0,1,0,0,1,0,5
     396,.44,.14,14,3,1,9,1,0,0,0,1,0,1,0,5
     396,.29,-.01,15,4,2,16,4,0,0,0,0,1,1,0,5
     398,.44,-.27,11,0,-2,0,4,1,0,0,0,0,1,0,5
     398,.44,-.09,13,2,0,4,0,0,0,1,0,0,1,0,5
     398,.44,.07,14,3,1,9,1,0,0,0,1,0,1,0,5
     398,.51,-.01,15,4,2,16,4,0,0,0,0,1,1,0,5
     400,.2,-.27,11,0,-2,0,4,1,0,0,0,0,0,0,6
     400,.29,-.17,12,1,-1,1,1,0,1,0,0,0,0,0,6
     400,.37,-.27,13,2,0,4,0,0,0,1,0,0,0,0,6
     400,.29,-.01,14,3,1,9,1,0,0,0,1,0,0,0,6
     400,.44,-.09,15,4,2,16,4,0,0,0,0,1,0,0,6
     411,.2,.07,11,0,-2,0,4,1,0,0,0,0,0,0,3
     411,.12,-.01,12,1,-1,1,1,0,1,0,0,0,0,0,3
     411,.37,-.01,13,2,0,4,0,0,0,1,0,0,0,0,3
     411,.69,.42,14,3,1,9,1,0,0,0,1,0,0,0,3
     411,.75,.47,15,4,2,16,4,0,0,0,0,1,0,0,3
     419,.29,-.09,11,0,-2,0,4,1,0,0,0,0,0,0,4
     419,0,-.27,12,1,-1,1,1,0,1,0,0,0,0,0,4
     419,.11,-.09,13,2,0,4,0,0,0,1,0,0,0,0,4
     419,.69,.32,14,3,1,9,1,0,0,0,1,0,0,0,4
     419,.69,.37,15,4,2,16,4,0,0,0,0,1,0,0,4
     422,.2,.03,11,0,-2,0,4,1,0,0,0,0,1,0,5
     422,.11,-.17,12,1,-1,1,1,0,1,0,0,0,1,0,5
     422,.44,-.01,13,2,0,4,0,0,0,1,0,0,1,0,5
     422,.29,.2,14,3,1,9,1,0,0,0,1,0,1,0,5
     422,.51,.26,15,4,2,16,4,0,0,0,0,1,1,0,5
     424,.44,-.27,11,0,-2,0,4,1,0,0,0,0,1,0,2
     424,.2,-.09,12,1,-1,1,1,0,1,0,0,0,1,0,2
     424,.69,.42,13,2,0,4,0,0,0,1,0,0,1,0,2
     424,1.17,.56,14,3,1,9,1,0,0,0,1,0,1,0,2
     424,1.06,.52,15,4,2,16,4,0,0,0,0,1,1,0,2
     434,.51,-.09,11,0,-2,0,4,1,0,0,0,0,0,0,5
     434,.51,-.09,12,1,-1,1,1,0,1,0,0,0,0,0,5
     434,.69,-.01,13,2,0,4,0,0,0,1,0,0,0,0,5
     434,.85,.37,14,3,1,9,1,0,0,0,1,0,0,0,5
     434,.8,.42,15,4,2,16,4,0,0,0,0,1,0,0,5
     442,.37,-.17,11,0,-2,0,4,1,0,0,0,0,0,0,5
     442,.69,.07,12,1,-1,1,1,0,1,0,0,0,0,0,5
     442,.37,.14,13,2,0,4,0,0,0,1,0,0,0,0,5
     442,.51,.37,14,3,1,9,1,0,0,0,1,0,0,0,5
     442,.64,.14,15,4,2,16,4,0,0,0,0,1,0,0,5
     453,.51,-.09,11,0,-2,0,4,1,0,0,0,0,0,0,2
     453,.51,.26,13,2,0,4,0,0,0,1,0,0,0,0,2
     453,.44,.65,14,3,1,9,1,0,0,0,1,0,0,0,2
     453,.8,.76,15,4,2,16,4,0,0,0,0,1,0,0,2
     454,.44,.26,11,0,-2,0,4,1,0,0,0,0,1,0,2
     454,.94,.61,12,1,-1,1,1,0,1,0,0,0,1,0,2
     454,.75,.52,13,2,0,4,0,0,0,1,0,0,1,0,2
     454,.58,.56,14,3,1,9,1,0,0,0,1,0,1,0,2
     454,1.02,.73,15,4,2,16,4,0,0,0,0,1,1,0,2
     459,.29,-.17,11,0,-2,0,4,1,0,0,0,0,0,0,9
     459,.2,-.17,12,1,-1,1,1,0,1,0,0,0,0,0,9
     459,.44,.07,13,2,0,4,0,0,0,1,0,0,0,0,9
     459,.58,-.01,14,3,1,9,1,0,0,0,1,0,0,0,9
     459,.29,-.01,15,4,2,16,4,0,0,0,0,1,0,0,9
     468,.44,.2,11,0,-2,0,4,1,0,0,0,0,0,0,7
     468,.44,.26,13,2,0,4,0,0,0,1,0,0,0,0,7
     468,.11,.26,14,3,1,9,1,0,0,0,1,0,0,0,7
     468,.69,.2,15,4,2,16,4,0,0,0,0,1,0,0,7
     473,.2,.65,11,0,-2,0,4,1,0,0,0,0,0,0,4
     473,0,.61,12,1,-1,1,1,0,1,0,0,0,0,0,4
     473,.29,.2,13,2,0,4,0,0,0,1,0,0,0,0,4
     473,.2,-.17,14,3,1,9,1,0,0,0,1,0,0,0,4
     473,.37,.32,15,4,2,16,4,0,0,0,0,1,0,0,4
     488,.29,-.37,11,0,-2,0,4,1,0,0,0,0,1,0,3
     488,.2,-.17,12,1,-1,1,1,0,1,0,0,0,1,0,3
     488,.11,-.27,13,2,0,4,0,0,0,1,0,0,1,0,3
     488,.11,-.27,14,3,1,9,1,0,0,0,1,0,1,0,3
     488,.11,-.09,15,4,2,16,4,0,0,0,0,1,1,0,3
     514,.29,-.17,11,0,-2,0,4,1,0,0,0,0,1,0,5
     514,.51,-.17,12,1,-1,1,1,0,1,0,0,0,1,0,5
     514,.8,-.17,13,2,0,4,0,0,0,1,0,0,1,0,5
     514,.75,-.17,14,3,1,9,1,0,0,0,1,0,1,0,5
     514,.89,.14,15,4,2,16,4,0,0,0,0,1,1,0,5
     520,.11,.86,11,0,-2,0,4,1,0,0,0,0,0,0,2
     520,.11,.26,12,1,-1,1,1,0,1,0,0,0,0,0,2
     520,.44,.19,13,2,0,4,0,0,0,1,0,0,0,0,2
     520,.51,.32,14,3,1,9,1,0,0,0,1,0,0,0,2
     520,.69,.83,15,4,2,16,4,0,0,0,0,1,0,0,2
     522,.2,-.27,11,0,-2,0,4,1,0,0,0,0,1,1,4
     522,.11,-.01,12,1,-1,1,1,0,1,0,0,0,1,1,4
     522,.2,-.27,13,2,0,4,0,0,0,1,0,0,1,1,4
     522,.69,-.27,14,3,1,9,1,0,0,0,1,0,1,1,4
     522,.69,-.01,15,4,2,16,4,0,0,0,0,1,1,1,4
     528,.11,.32,11,0,-2,0,4,1,0,0,0,0,0,0,8
     528,0,-.27,12,1,-1,1,1,0,1,0,0,0,0,0,8
     528,0,-.27,13,2,0,4,0,0,0,1,0,0,0,0,8
     528,.37,-.09,14,3,1,9,1,0,0,0,1,0,0,0,8
     528,.51,.11,15,4,2,16,4,0,0,0,0,1,0,0,8
     529,0,-.37,11,0,-2,0,4,1,0,0,0,0,1,0,10
     529,0,-.37,12,1,-1,1,1,0,1,0,0,0,1,0,10
     529,.2,-.27,13,2,0,4,0,0,0,1,0,0,1,0,10
     529,.2,-.27,14,3,1,9,1,0,0,0,1,0,1,0,10
     529,.2,-.17,15,4,2,16,4,0,0,0,0,1,1,0,10
     536,.2,-.27,11,0,-2,0,4,1,0,0,0,0,1,1,1
     536,.29,-.17,12,1,-1,1,1,0,1,0,0,0,1,1,1
     536,.11,-.37,13,2,0,4,0,0,0,1,0,0,1,1,1
     536,.2,-.27,14,3,1,9,1,0,0,0,1,0,1,1,1
     536,.2,-.37,15,4,2,16,4,0,0,0,0,1,1,1,1
     553,.2,-.37,13,2,0,4,0,0,0,1,0,0,1,1,2
     553,.2,-.09,14,3,1,9,1,0,0,0,1,0,1,1,2
     555,.29,-.17,11,0,-2,0,4,1,0,0,0,0,1,1,1
     555,.2,-.37,13,2,0,4,0,0,0,1,0,0,1,1,1
     555,.2,-.37,14,3,1,9,1,0,0,0,1,0,1,1,1
     555,.11,-.27,15,4,2,16,4,0,0,0,0,1,1,1,1
     558,.29,.56,13,2,0,4,0,0,0,1,0,0,1,0,2
     558,.11,.14,14,3,1,9,1,0,0,0,1,0,1,0,2
     561,.11,-.17,11,0,-2,0,4,1,0,0,0,0,0,0,7
     561,.37,.2,12,1,-1,1,1,0,1,0,0,0,0,0,7
     561,1.2,.61,13,2,0,4,0,0,0,1,0,0,0,0,7
     561,.8,.07,14,3,1,9,1,0,0,0,1,0,0,0,7
     561,.85,.32,15,4,2,16,4,0,0,0,0,1,0,0,7
     566,.29,.32,11,0,-2,0,4,1,0,0,0,0,0,1,1
     566,.2,.07,12,1,-1,1,1,0,1,0,0,0,0,1,1
     566,.44,.2,13,2,0,4,0,0,0,1,0,0,0,1,1
     566,.64,.07,14,3,1,9,1,0,0,0,1,0,0,1,1
     566,.69,.07,15,4,2,16,4,0,0,0,0,1,0,1,1
     569,.58,.83,11,0,-2,0,4,1,0,0,0,0,0,0,1
     569,.64,.52,12,1,-1,1,1,0,1,0,0,0,0,0,1
     569,.64,.73,13,2,0,4,0,0,0,1,0,0,0,0,1
     569,.69,.73,14,3,1,9,1,0,0,0,1,0,0,0,1
     569,.69,.61,15,4,2,16,4,0,0,0,0,1,0,0,1
     570,.64,-.01,11,0,-2,0,4,1,0,0,0,0,0,0,1
     570,.64,.69,12,1,-1,1,1,0,1,0,0,0,0,0,1
     570,.37,.98,13,2,0,4,0,0,0,1,0,0,0,0,1
     570,.58,.96,14,3,1,9,1,0,0,0,1,0,0,0,1
     590,.37,-.17,11,0,-2,0,4,1,0,0,0,0,1,0,7
     590,.2,-.17,12,1,-1,1,1,0,1,0,0,0,1,0,7
     590,.29,-.09,13,2,0,4,0,0,0,1,0,0,1,0,7
     590,.2,-.26,14,3,1,9,1,0,0,0,1,0,1,0,7
     590,.29,-.09,15,4,2,16,4,0,0,0,0,1,1,0,7
     593,0,-.37,11,0,-2,0,4,1,0,0,0,0,1,0,3
     593,.29,-.37,12,1,-1,1,1,0,1,0,0,0,1,0,3
     593,.11,-.37,13,2,0,4,0,0,0,1,0,0,1,0,3
     593,.69,-.27,14,3,1,9,1,0,0,0,1,0,1,0,3
     593,.11,-.37,15,4,2,16,4,0,0,0,0,1,1,0,3
     606,.11,-.37,11,0,-2,0,4,1,0,0,0,0,1,0,6
     606,.11,-.09,12,1,-1,1,1,0,1,0,0,0,1,0,6
     606,.37,-.17,13,2,0,4,0,0,0,1,0,0,1,0,6
     606,.2,-.17,14,3,1,9,1,0,0,0,1,0,1,0,6
     606,.2,-.17,15,4,2,16,4,0,0,0,0,1,1,0,6
     615,.2,-.27,11,0,-2,0,4,1,0,0,0,0,1,0,3
