schoolnr pupilNR_new langPOST ses IQ_verb sex Minority denomina sch_ses sch_iqv sch_min
 12.00  151.00  32.00   2.27  -1.37   0.00   0.00   1.00   2.037 -2.3374  0.000
 12.00  152.00  26.00  -7.73  -1.37   0.00   0.00   1.00   2.037 -2.3374  0.000
 12.00  153.00  21.00  12.27  -2.37   0.00   0.00   1.00   2.037 -2.3374  0.000
 12.00  154.00  37.00  -7.73  -1.87   0.00   0.00   1.00   2.037 -2.3374  0.000
 12.00  155.00  30.00 -10.73  -0.37   1.00   0.00   1.00   2.037 -2.3374  0.000
 12.00  156.00  41.00  -7.73  -2.37   1.00   0.00   1.00   2.037 -2.3374  0.000
 12.00  157.00  31.00  22.27  -2.87   1.00   0.00   1.00   2.037 -2.3374  0.000
 12.00  158.00  27.00  -7.73  -3.87   1.00   0.00   1.00   2.037 -2.3374  0.000
 12.00  159.00  33.00  -0.73  -4.37   1.00   0.00   1.00   2.037 -2.3374  0.000
 12.00  160.00  29.00  12.27  -3.37   1.00   0.00   1.00   2.037 -2.3374  0.000
 13.00  161.00  42.00  -4.73   0.13   1.00   0.00   3.00   5.701  2.0617  0.000
 13.00  162.00  37.00   3.27  -0.37   0.00   0.00   3.00   5.701  2.0617  0.000
 13.00  163.00  49.00  19.27   5.13   1.00   0.00   3.00   5.701  2.0617  0.000
 13.00  164.00  39.00  -3.73   1.13   0.00   0.00   3.00   5.701  2.0617  0.000
 13.00  165.00  32.00  -7.73  -0.37   1.00   0.00   3.00   5.701  2.0617  0.000
 13.00  166.00  50.00  10.27   3.63   1.00   0.00   3.00   5.701  2.0617  0.000
 13.00  167.00  45.00   9.27   2.63   0.00   0.00   3.00   5.701  2.0617  0.000
 13.00  168.00  43.00   0.27   4.13   0.00   0.00   3.00   5.701  2.0617  0.000
 13.00  169.00  54.00  -3.73   2.63   1.00   0.00   3.00   5.701  2.0617  0.000
 13.00  170.00  50.00  10.27   0.13   1.00   0.00   3.00   5.701  2.0617  0.000
 13.00  171.00  47.00  16.27   1.13   0.00   0.00   3.00   5.701  2.0617  0.000
 13.00  172.00  52.00   2.27   0.13   0.00   0.00   3.00   5.701  2.0617  0.000
 13.00  173.00  51.00  16.27   5.13   1.00   0.00   3.00   5.701  2.0617  0.000
 13.00  174.00  54.00  12.27   3.63   1.00   0.00   3.00   5.701  2.0617  0.000
 14.00  175.00  43.00   8.27   0.63   1.00   0.00   3.00   8.881  1.1549  0.087
 14.00  177.00  22.00 -15.73  -0.37   0.00   1.00   3.00   8.881  1.1549  0.087
 14.00  178.00  26.00   2.27   2.13   1.00   0.00   3.00   8.881  1.1549  0.087
 14.00  179.00  38.00  13.27   0.13   0.00   0.00   3.00   8.881  1.1549  0.087
 14.00  180.00  32.00  17.27  -2.37   0.00   1.00   3.00   8.881  1.1549  0.087
 14.00  181.00  40.00   0.27   2.13   1.00   0.00   3.00   8.881  1.1549  0.087
 14.00  182.00  38.00  13.27   1.13   1.00   0.00   3.00   8.881  1.1549  0.087
 14.00  183.00  35.00  13.27   1.13   0.00   0.00   3.00   8.881  1.1549  0.087
 14.00  184.00  32.00   8.27   0.13   1.00   0.00   3.00   8.881  1.1549  0.087
 14.00  185.00  35.00   0.27   0.13   1.00   0.00   3.00   8.881  1.1549  0.087
 14.00  186.00  37.00  13.27   0.63   1.00   0.00   3.00   8.881  1.1549  0.087
 14.00  187.00  31.00   4.27   0.63   1.00   0.00   3.00   8.881  1.1549  0.087
 14.00  188.00  27.00   8.27  -1.37   0.00   0.00   3.00   8.881  1.1549  0.087
 14.00  189.00  37.00   8.27   0.63   0.00   0.00   3.00   8.881  1.1549  0.087
 14.00  190.00  51.00  13.27   1.63   1.00   0.00   3.00   8.881  1.1549  0.087
 14.00  191.00  42.00  13.27   1.13   0.00   0.00   3.00   8.881  1.1549  0.087
 14.00  192.00  45.00  13.27   5.13   0.00   0.00   3.00   8.881  1.1549  0.087
 14.00  193.00  36.00  13.27   2.13   0.00   0.00   3.00   8.881  1.1549  0.087
 14.00  194.00  54.00  13.27   4.13   1.00   0.00   3.00   8.881  1.1549  0.087
 14.00  195.00  42.00  21.27   1.13   1.00   0.00   3.00   8.881  1.1549  0.087
 14.00  197.00  43.00  13.27   5.13   0.00   0.00   3.00   8.881  1.1549  0.087
 15.00  199.00  31.00  12.27   2.13   0.00   0.00   3.00   0.398 -0.7002  0.000
 15.00  200.00  18.00  -7.73  -3.37   0.00   0.00   3.00   0.398 -0.7002  0.000
 15.00  201.00  37.00  12.27   1.13   0.00   0.00   3.00   0.398 -0.7002  0.000
 15.00  202.00  22.00  -2.73  -1.37   1.00   0.00   3.00   0.398 -0.7002  0.000
 15.00  203.00  43.00  -7.73   3.13   1.00   0.00   3.00   0.398 -0.7002  0.000
 15.00  204.00   9.00   2.27  -2.87   1.00   0.00   3.00   0.398 -0.7002  0.000
 15.00  205.00  41.00   2.27  -1.87   0.00   0.00   3.00   0.398 -0.7002  0.000
 15.00  206.00  46.00  -7.73   0.13   0.00   0.00   3.00   0.398 -0.7002  0.000
 16.00  208.00  34.00  -4.73  -0.87   0.00   0.00   2.00   1.828 -0.0891  0.000
 16.00  209.00  47.00   5.27  -0.87   1.00   0.00   2.00   1.828 -0.0891  0.000
 16.00  210.00  44.00  -0.73   0.63   0.00   0.00   2.00   1.828 -0.0891  0.000
 16.00  211.00  50.00  -0.73   1.13   0.00   0.00   2.00   1.828 -0.0891  0.000
 16.00  212.00  45.00  -4.73   0.63   0.00   0.00   2.00   1.828 -0.0891  0.000
 16.00  213.00  43.00   2.27  -0.87   1.00   0.00   2.00   1.828 -0.0891  0.000
 16.00  214.00  34.00   7.27  -0.37   0.00   0.00   2.00   1.828 -0.0891  0.000
 16.00  215.00  35.00   9.27  -0.87   0.00   0.00   2.00   1.828 -0.0891  0.000
 18.00  217.00  22.00  -4.73  -2.37   0.00   0.00   1.00   4.233 -0.1668  0.000
 18.00  218.00  27.00 -12.73  -2.37   1.00   0.00   1.00   4.233 -0.1668  0.000
 18.00  219.00  45.00  22.27   3.13   1.00   0.00   1.00   4.233 -0.1668  0.000
 18.00  220.00  45.00  -0.73  -0.37   1.00   0.00   1.00   4.233 -0.1668  0.000
 18.00  221.00  38.00   7.27   1.13   0.00   0.00   1.00   4.233 -0.1668  0.000
 18.00  222.00  24.00   5.27  -1.37   0.00   0.00   1.00   4.233 -0.1668  0.000
 18.00  223.00  50.00  -2.73   1.13   1.00   0.00   1.00   4.233 -0.1668  0.000
 18.00  224.00  22.00  -7.73  -0.87   0.00   0.00   1.00   4.233 -0.1668  0.000
 18.00  225.00  43.00   2.27   2.13   0.00   0.00   1.00   4.233 -0.1668  0.000
 18.00  226.00  28.00   0.27   1.63   0.00   0.00   1.00   4.233 -0.1668  0.000
 18.00  227.00  38.00   5.27  -1.37   0.00   0.00   1.00   4.233 -0.1668  0.000
 18.00  228.00  20.00  -2.73  -2.37   0.00   0.00   1.00   4.233 -0.1668  0.000
 18.00  229.00  40.00   5.27   3.63   0.00   0.00   1.00   4.233 -0.1668  0.000
 18.00  230.00  47.00  22.27   0.13   0.00   0.00   1.00   4.233 -0.1668  0.000
 18.00  231.00  20.00 -12.73  -0.87   0.00   0.00   1.00   4.233 -0.1668  0.000
 18.00  232.00  28.00  -2.73  -0.87   1.00   0.00   1.00   4.233 -0.1668  0.000
 18.00  233.00  33.00  22.27   1.13   0.00   0.00   1.00   4.233 -0.1668  0.000
 18.00  234.00  21.00   2.27  -0.37   0.00   0.00   1.00   4.233 -0.1668  0.000
 18.00  235.00  44.00  10.27   0.63   1.00   0.00   1.00   4.233 -0.1668  0.000
 18.00  236.00  43.00  -7.73   0.13   0.00   0.00   1.00   4.233 -0.1668  0.000
 18.00  237.00  18.00   7.27  -1.87   0.00   0.00   1.00   4.233 -0.1668  0.000
 18.00  238.00  31.00  22.27  -1.37   1.00   0.00   1.00   4.233 -0.1668  0.000
 18.00  239.00  21.00   7.27  -0.37   1.00   0.00   1.00   4.233 -0.1668  0.000
 18.00  240.00  41.00   7.27  -0.87   0.00   0.00   1.00   4.233 -0.1668  0.000
 19.00  241.00  33.00  17.27  -2.87   0.00   0.00   1.00   6.091  0.1977  0.030
 19.00  242.00  30.00  -7.73  -2.87   1.00   0.00   1.00   6.091  0.1977  0.030
 19.00  243.00  30.00  13.27  -0.87   0.00   0.00   1.00   6.091  0.1977  0.030
 19.00  244.00  37.00  -7.73   0.13   0.00   0.00   1.00   6.091  0.1977  0.030
 19.00  245.00  37.00 -10.73  -1.87   1.00   0.00   1.00   6.091  0.1977  0.030
 19.00  246.00  35.00   6.27  -1.87   1.00   0.00   1.00   6.091  0.1977  0.030
 19.00  247.00  43.00 -10.73   1.13   0.00   0.00   1.00   6.091  0.1977  0.030
 19.00  248.00  36.00   3.27  -0.37   1.00   0.00   1.00   6.091  0.1977  0.030
 19.00  249.00  41.00   9.27   0.13   1.00   0.00   1.00   6.091  0.1977  0.030
 19.00  250.00  32.00  11.27   0.13   1.00   0.00   1.00   6.091  0.1977  0.030
 19.00  251.00  11.00   4.27  -0.37   0.00   0.00   1.00   6.091  0.1977  0.030
 19.00  252.00  34.00  17.27  -1.87   1.00   0.00   1.00   6.091  0.1977  0.030
 19.00  253.00  35.00   4.27   0.63   0.00   0.00   1.00   6.091  0.1977  0.030
 19.00  254.00  40.00  -0.73  -0.87   1.00   0.00   1.00   6.091  0.1977  0.030
 19.00  255.00  29.00  -1.73  -0.37   1.00   0.00   1.00   6.091  0.1977  0.030
 19.00  256.00  30.00   2.27   0.63   1.00   0.00   1.00   6.091  0.1977  0.030
 19.00  257.00  42.00  12.27  -0.87   1.00   0.00   1.00   6.091  0.1977  0.030
 19.00  258.00  40.00   2.27   4.63   0.00   0.00   1.00   6.091  0.1977  0.030
 19.00  259.00  32.00  -3.73  -0.87   1.00   0.00   1.00   6.091  0.1977  0.030
 19.00  260.00  41.00  17.27   2.13   0.00   0.00   1.00   6.091  0.1977  0.030
 19.00  261.00  40.00   8.27  -0.87   0.00   0.00   1.00   6.091  0.1977  0.030
 19.00  262.00  45.00  21.27   3.63   0.00   0.00   1.00   6.091  0.1977  0.030
 19.00  263.00  44.00   4.27   0.63   1.00   0.00   1.00   6.091  0.1977  0.030
 19.00  264.00  35.00  19.27   0.13   0.00   1.00   1.00   6.091  0.1977  0.030
 19.00  265.00  44.00   9.27   0.63   0.00   0.00   1.00   6.091  0.1977  0.030
 19.00  266.00  47.00  17.27   2.13   0.00   0.00   1.00   6.091  0.1977  0.030
 19.00  267.00  45.00   0.27  -0.37   0.00   0.00   1.00   6.091  0.1977  0.030
 19.00  268.00  41.00   2.27   2.13   0.00   0.00   1.00   6.091  0.1977  0.030
 19.00  270.00  49.00  13.27   0.13   1.00   0.00   1.00   6.091  0.1977  0.030
 19.00  272.00  51.00  10.27   2.13   0.00   0.00   1.00   6.091  0.1977  0.030
 19.00  273.00  51.00   4.27   2.13   0.00   0.00   1.00   6.091  0.1977  0.030
 21.00  274.00  44.00  -5.73   0.13   0.00   0.00   2.00  -6.449 -0.0891  0.000
 21.00  275.00  48.00  -7.73   2.63   0.00   0.00   2.00  -6.449 -0.0891  0.000
 21.00  276.00  43.00  -9.73   1.13   1.00   0.00   2.00  -6.449 -0.0891  0.000
 21.00  277.00  32.00  -9.73  -3.37   0.00   0.00   2.00  -6.449 -0.0891  0.000
 21.00  278.00  17.00  -7.73  -0.37   0.00   0.00   2.00  -6.449 -0.0891  0.000
 21.00  279.00  27.00  -7.73  -3.37   0.00   0.00   2.00  -6.449 -0.0891  0.000
 21.00  280.00  55.00   0.27   1.13   0.00   0.00   2.00  -6.449 -0.0891  0.000
 21.00  281.00  45.00   0.27   0.63   1.00   0.00   2.00  -6.449 -0.0891  0.000
 21.00  282.00  36.00  -9.73   1.63   1.00   0.00   2.00  -6.449 -0.0891  0.000
 21.00  283.00  24.00  -9.73  -3.87   0.00   0.00   2.00  -6.449 -0.0891  0.000
 21.00  284.00  35.00  -9.73  -2.87   1.00   0.00   2.00  -6.449 -0.0891  0.000
 21.00  285.00  43.00  -4.73  -0.37   0.00   0.00   2.00  -6.449 -0.0891  0.000
 21.00  286.00  48.00  -4.73   1.13   1.00   0.00   2.00  -6.449 -0.0891  0.000
 21.00  287.00  38.00  -4.73   2.63   1.00   0.00   2.00  -6.449 -0.0891  0.000
 21.00  288.00  44.00  -7.73   0.13   0.00   0.00   2.00  -6.449 -0.0891  0.000
 21.00  289.00  47.00  -9.73   0.13   0.00   0.00   2.00  -6.449 -0.0891  0.000
 21.00  290.00  36.00  -4.73   1.63   0.00   0.00   2.00  -6.449 -0.0891  0.000
 21.00  291.00  41.00  -2.73  -0.37   1.00   0.00   2.00  -6.449 -0.0891  0.000
 23.00  292.00  36.00   0.27   0.13   0.00   0.00   2.00  -6.500  0.0897  0.000
 23.00  293.00  44.00  -5.73   0.13   1.00   0.00   2.00  -6.500  0.0897  0.000
 23.00  294.00  28.00 -10.73  -2.37   1.00   0.00   2.00  -6.500  0.0897  0.000
 23.00  295.00  42.00   0.27   1.63   0.00   0.00   2.00  -6.500  0.0897  0.000
 23.00  297.00  44.00 -10.73  -0.37   0.00   0.00   2.00  -6.500  0.0897  0.000
 23.00  298.00  46.00  -6.73   0.13   1.00   0.00   2.00  -6.500  0.0897  0.000
 23.00  299.00  24.00  -6.73  -2.37   1.00   0.00   2.00  -6.500  0.0897  0.000
 23.00  300.00  45.00 -10.73   1.13   1.00   0.00   2.00  -6.500  0.0897  0.000
 23.00  301.00  35.00 -10.73  -2.87   0.00   0.00   2.00  -6.500  0.0897  0.000
 23.00  302.00  37.00  -1.73  -0.37   0.00   0.00   2.00  -6.500  0.0897  0.000
 23.00  303.00  49.00 -12.73   2.63   1.00   0.00   2.00  -6.500  0.0897  0.000
 23.00  304.00  49.00 -10.73   1.13   1.00   0.00   2.00  -6.500  0.0897  0.000
 23.00  305.00  48.00  -1.73   0.63   0.00   0.00   2.00  -6.500  0.0897  0.000
 23.00  306.00  40.00   0.27   0.63   1.00   0.00   2.00  -6.500  0.0897  0.000
 23.00  307.00  33.00  -1.73  -1.87   1.00   0.00   2.00  -6.500  0.0897  0.000
 23.00  308.00  45.00 -10.73   1.13   1.00   0.00   2.00  -6.500  0.0897  0.000
 23.00  309.00  43.00 -10.73  -0.87   1.00   0.00   2.00  -6.500  0.0897  0.000
 23.00  310.00  51.00 -10.73   1.13   1.00   0.00   2.00  -6.500  0.0897  0.000
 23.00  311.00  48.00  -1.73   1.13   1.00   0.00   2.00  -6.500  0.0897  0.000
 23.00  312.00  42.00  -8.73   0.13   1.00   0.00   2.00  -6.500  0.0897  0.000
 23.00  313.00  52.00   0.27  -1.87   1.00   0.00   2.00  -6.500  0.0897  0.000
 23.00  314.00  54.00 -10.73   1.63   1.00   0.00   2.00  -6.500  0.0897  0.000
 24.00  316.00  41.00  -4.73   0.13   0.00   0.00   2.00  -4.807  0.0932  0.000
 24.00  317.00  26.00  -7.73  -1.87   1.00   0.00   2.00  -4.807  0.0932  0.000
 24.00  318.00  52.00  -7.73   2.13   1.00   0.00   2.00  -4.807  0.0932  0.000
 24.00  319.00  43.00 -17.73   0.63   0.00   0.00   2.00  -4.807  0.0932  0.000
 24.00  320.00  54.00  -7.73   1.13   0.00   0.00   2.00  -4.807  0.0932  0.000
 24.00  321.00  49.00   2.27  -0.37   1.00   0.00   2.00  -4.807  0.0932  0.000
 24.00  322.00  51.00  -7.73   3.63   0.00   0.00   2.00  -4.807  0.0932  0.000
 24.00  323.00  47.00  -4.73   1.63   0.00   0.00   2.00  -4.807  0.0932  0.000
 24.00  324.00  51.00 -10.73   0.13   1.00   0.00   2.00  -4.807  0.0932  0.000
 24.00  325.00  51.00  -4.73   0.13   1.00   0.00   2.00  -4.807  0.0932  0.000
 24.00  326.00  34.00  -7.73  -3.37   1.00   0.00   2.00  -4.807  0.0932  0.000
 24.00  327.00  51.00  -4.73  -1.37   1.00   0.00   2.00  -4.807  0.0932  0.000
 24.00  328.00  49.00  -4.73  -1.87   1.00   0.00   2.00  -4.807  0.0932  0.000
 24.00  329.00  42.00   9.27  -2.87   1.00   0.00   2.00  -4.807  0.0932  0.000
 24.00  330.00  50.00 -10.73   1.13   1.00   0.00   2.00  -4.807  0.0932  0.000
 24.00  331.00  33.00 -10.73  -5.37   1.00   0.00   2.00  -4.807  0.0932  0.000
 24.00  332.00  46.00   5.27   1.63   1.00   0.00   2.00  -4.807  0.0932  0.000
 24.00  333.00  57.00  -7.73   4.63   0.00   0.00   2.00  -4.807  0.0932  0.000
 24.00  334.00  35.00   2.27  -1.37   0.00   0.00   2.00  -4.807  0.0932  0.000
 24.00  335.00  44.00  -0.73   1.63   0.00   0.00   2.00  -4.807  0.0932  0.000
 24.00  336.00  36.00  -4.73   0.13   0.00   0.00   2.00  -4.807  0.0932  0.000
 24.00  337.00  50.00  -4.73   0.63   0.00   0.00   2.00  -4.807  0.0932  0.000
 24.00  338.00  38.00  -0.73   1.13   1.00   0.00   2.00  -4.807  0.0932  0.000
 24.00  339.00  49.00  -0.73   0.13   1.00   0.00   2.00  -4.807  0.0932  0.000
 25.00  340.00  32.00  -1.73  -0.37   1.00   0.00   1.00  -3.035 -1.2515  0.000
 25.00  342.00  33.00 -10.73  -3.87   1.00   0.00   1.00  -3.035 -1.2515  0.000
 25.00  343.00  48.00 -10.73   1.13   0.00   0.00   1.00  -3.035 -1.2515  0.000
 25.00  344.00  34.00  -7.73  -3.87   1.00   0.00   1.00  -3.035 -1.2515  0.000
 25.00  345.00  37.00  -7.73  -1.87   0.00   0.00   1.00  -3.035 -1.2515  0.000
 25.00  346.00  37.00  -4.73  -3.37   0.00   0.00   1.00  -3.035 -1.2515  0.000
 25.00  347.00  40.00 -10.73  -1.87   1.00   0.00   1.00  -3.035 -1.2515  0.000
 25.00  348.00  41.00  15.27  -0.87   1.00   0.00   1.00  -3.035 -1.2515  0.000
 25.00  349.00  40.00  -7.73  -0.37   0.00   0.00   1.00  -3.035 -1.2515  0.000
 25.00  350.00  43.00  19.27   1.13   0.00   0.00   1.00  -3.035 -1.2515  0.000
 25.00  351.00  45.00  -7.73   0.13   1.00   0.00   1.00  -3.035 -1.2515  0.000
 25.00  352.00  44.00  -1.73   0.63   1.00   0.00   1.00  -3.035 -1.2515  0.000
 26.00  353.00  39.00   9.27   1.63   0.00   0.00   2.00   4.694  0.5805  0.000
 26.00  354.00  26.00  -7.73  -1.37   0.00   0.00   2.00   4.694  0.5805  0.000
 26.00  355.00  48.00   7.27   0.13   0.00   0.00   2.00   4.694  0.5805  0.000
 26.00  356.00  32.00  12.27   0.63   0.00   0.00   2.00   4.694  0.5805  0.000
 26.00  357.00  46.00   5.27   1.13   0.00   0.00   2.00   4.694  0.5805  0.000
 26.00  358.00  38.00   2.27  -1.87   0.00   0.00   2.00   4.694  0.5805  0.000
 26.00  359.00  44.00   5.27  -0.87   0.00   0.00   2.00   4.694  0.5805  0.000
 26.00  360.00  35.00 -10.73  -0.87   0.00   0.00   2.00   4.694  0.5805  0.000
 26.00  361.00  40.00  -4.73   4.63   0.00   0.00   2.00   4.694  0.5805  0.000
 26.00  362.00  40.00   9.27   1.13   0.00   0.00   2.00   4.694  0.5805  0.000
 26.00  363.00  46.00  -7.73  -0.37   0.00   0.00   2.00   4.694  0.5805  0.000
 26.00  364.00  31.00  -7.73  -1.87   1.00   0.00   2.00   4.694  0.5805  0.000
 26.00  365.00  50.00  17.27   1.63   1.00   0.00   2.00   4.694  0.5805  0.000
 26.00  366.00  46.00  12.27   1.63   1.00   0.00   2.00   4.694  0.5805  0.000
 26.00  367.00  51.00  15.27   4.63   1.00   0.00   2.00   4.694  0.5805  0.000
 26.00  368.00  29.00   0.27  -2.87   1.00   0.00   2.00   4.694  0.5805  0.000
 26.00  369.00  39.00   5.27   0.13   1.00   0.00   2.00   4.694  0.5805  0.000
 26.00  370.00  49.00   7.27   1.63   1.00   0.00   2.00   4.694  0.5805  0.000
 26.00  371.00  43.00  19.27   2.13   1.00   0.00   2.00   4.694  0.5805  0.000
 27.00  374.00  37.00  -4.73  -1.87   1.00   0.00   1.00   1.511 -0.3451  0.000
 27.00  375.00  35.00  -4.73  -1.37   0.00   0.00   1.00   1.511 -0.3451  0.000
 27.00  376.00  38.00   0.27   1.13   0.00   0.00   1.00   1.511 -0.3451  0.000
 27.00  377.00  40.00  -4.73   1.13   1.00   0.00   1.00   1.511 -0.3451  0.000
 27.00  378.00  42.00  19.27   2.13   0.00   0.00   1.00   1.511 -0.3451  0.000
 27.00  379.00  41.00  12.27   2.63   0.00   0.00   1.00   1.511 -0.3451  0.000
 27.00  380.00  32.00  12.27   0.13   0.00   0.00   1.00   1.511 -0.3451  0.000
 27.00  381.00  40.00  -0.73   0.63   0.00   0.00   1.00   1.511 -0.3451  0.000
 27.00  382.00  20.00  -4.73  -1.37   0.00   0.00   1.00   1.511 -0.3451  0.000
 27.00  383.00  29.00  -0.73  -0.87   1.00   0.00   1.00   1.511 -0.3451  0.000
 27.00  384.00  41.00  12.27   0.63   0.00   0.00   1.00   1.511 -0.3451  0.000
 27.00  385.00  23.00   2.27   1.13   0.00   0.00   1.00   1.511 -0.3451  0.000
 27.00  386.00  27.00  -4.73  -0.37   1.00   0.00   1.00   1.511 -0.3451  0.000
 27.00  387.00  35.00  -0.73  -2.37   1.00   0.00   1.00   1.511 -0.3451  0.000
 27.00  388.00  33.00   7.27  -0.37   0.00   0.00   1.00   1.511 -0.3451  0.000
 27.00  389.00  31.00  -4.73  -2.37   1.00   0.00   1.00   1.511 -0.3451  0.000
 27.00  390.00  29.00  12.27   0.13   0.00   0.00   1.00   1.511 -0.3451  0.000
